priority,ipa,word,concept,representationType,homophoneGroup,productivity,assetExists,assetStatus,needsProduction,source
P2,paʁk,parc,parc,IMAGE,parc | parke | parque,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,patat,patate,patate,IMAGE,patate,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,pɑ̃,paon,paon,IMAGE,paon,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,pɛ̃,pain,pain,IMAGE,pain | pin,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,pɛ̃,pin,pin,IMAGE,pain | pin,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,pi,pie,pie,IMAGE,pie,0,true,EXISTE_NON_VALIDÉ,false,data/rebus-fragment-representation-ideas.json
P2,pje,pied,pied,IMAGE,ft | pied,0,true,ASSET_INDIVIDUEL_CANONIQUE,false,data/rebus-productive-bank-wave4.json
P2,plɥi,pluie,pluie,IMAGE,pluie,0,true,LEGACY_RUNTIME_ASSET,false,data/rebus-fragment-representation-ideas.json
P2,po,peau,peau,IMAGE,peau | pot,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,po,pot,pot,IMAGE,peau | pot,0,true,LEGACY_RUNTIME_ASSET,false,data/rebus-fragment-representation-ideas.json
P2,pɔ̃,pont,pont,IMAGE,pont,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,pɔm,pomme,pomme,IMAGE,pomme,0,true,ASSET_EXISTANT_À_RÉCUPÉRER,false,data/rebus-productive-bank-wave4.json
P2,pɔʁt,porte,porte,IMAGE,porte,0,true,ASSET_EXISTANT_À_RÉCUPÉRER,false,data/rebus-productive-bank-wave4.json
P2,pɔst,poste,poste,IMAGE,poste | posts,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,pwaʁ,poire,poire,IMAGE,poire,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,pwasɔ̃,poisson,poisson,IMAGE,poisson,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,ʁa,rat,rat,IMAGE,rat,0,true,ASSET_INDIVIDUEL_CANONIQUE,false,data/rebus-fragment-representation-ideas.json
P2,ʁadjo,radio,radio,IMAGE,radiaux | radio,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,ʁevɛj,réveil,réveil,IMAGE,réveil | réveille,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,ʁəkɛ̃,requin,requin,IMAGE,requin,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,ʁənaʁ,renard,renard,IMAGE,renard,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,ʁɛ,raie,raie,IMAGE,raie,0,true,LEGACY_RUNTIME_ASSET,false,data/rebus-fragment-representation-ideas.json
P2,ʁɛzɛ̃,raisin,raisin,IMAGE,raisin,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,ʁi,riz,riz,IMAGE,riz,0,true,LEGACY_RUNTIME_ASSET,false,data/rebus-fragment-representation-ideas.json
P2,ʁɔb,robe,robe,IMAGE,rob | robe,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,ʁu,roue,roue,IMAGE,roue,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,salad,salade,salade,IMAGE,salade,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,sapɛ̃,sapin,sapin,IMAGE,sapin,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,savɔ̃,savon,savon,IMAGE,savon | savons,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,səʁiz,cerise,cerise,IMAGE,cerise,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,sɛl,sel,sel,IMAGE,sel,0,false,NO_PROVEN_ASSET,true,data/rebus-fragment-representation-ideas.json
P2,sɛʁ,cerf,cerf,IMAGE,cerf | serf | serre,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,sɛʁ,serf,serf,IMAGE,cerf | serf | serre,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,sɛʁ,serre,serre,IMAGE,cerf | serf | serre,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,sɛʁpɑ̃,serpent,serpent,IMAGE,serpant | serpent,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave5.json
P2,sɛ̃ʒ,singe,singe,IMAGE,singe,0,false,NO_PROVEN_ASSET,true,data/rebus-productive-bank-wave4.json
P2,si,scie,scie,IMAGE,scie,0,true,ASSET_EXISTANT_À_RÉCUPÉRER,false,data/rebus-fragment-representation-ideas.json
